"id","description"
"1","Slow internet connection"
"2","Billing discrepancy"
"3","Software installation issue"
"4","Lost password"
"5","Hardware malfunction"
"6","Service outage"
"7","Mobile app not working"
"8","Network connectivity problem"
"9","Email delivery failure"
"10","Website not accessible"
"11","Print job errors"
"12","Account login issue"
"13","Virus or malware attack"
"14","Device setup problem"
"15","Data loss"
"16","Navigation errors"
"17","Phone call dropouts"
"18","Streaming quality issues"
"19","GPS not working"
"20","System crashes"
"21","Software compatibility problem"
"22","Device overheating"
"23","Lost data during update"
"24","Email attachment issues"
"25","Website security breach"
"26","Printer not responding"
"27","Mobile app crashing"
"28","Network latency problems"
"29","Forgotten account credentials"
"30","GPS signal interference"